"Date","Transaction","Name","Memo","Amount"
"2026-02-13","CREDIT","ELECTRONIC DEPOSIT MONROE MAGNUS LL","Download from usbank.com.","1140.00"
"2026-02-13","DEBIT","RECURRING DEBIT PURCHASE CLAUDE.AI SUBSCRANTHROPIC.COCA","Download from usbank.com.8752","-20.00"
"2026-02-17","DEBIT","ELECTRONIC WITHDRAWAL Raymond Evans","Download from usbank.com.","-150.38"
"2026-02-23","DEBIT","RECURRING DEBIT PURCHASE NETFLIX.COM     NETFLIX.COM CA","Download from usbank.com.8752","-24.99"
"2026-02-23","DEBIT","RECURRING DEBIT PURCHASE Lemonade InsuranNew York    NY","Download from usbank.com.8752","-10.92"
"2026-02-25","DEBIT","RECURRING DEBIT PURCHASE WINDSURF        WINDSURF.COMCA","Download from usbank.com.8752","-15.00"
"2026-02-26","DEBIT","RECURRING DEBIT PURCHASE TIDAL.COM       Miami       FL","Download from usbank.com.8752","-10.99"
"2026-02-27","CREDIT","ELECTRONIC DEPOSIT MONROE MAGNUS LL","Download from usbank.com.","1140.00"
"2026-02-27","CREDIT","ZELLE INSTANT PMT FROM ANDRES LAGANG                 CTIamtwNarVl","Download from usbank.com.","1079.00"
"2026-03-02","DEBIT","RECURRING DEBIT PURCHASE GOOGLE *Google O855-836-3987CA","Download from usbank.com.8752","-29.99"
"2026-03-02","DEBIT","RECURRING DEBIT PURCHASE APF*The Comana C619-7130052 CA","Download from usbank.com.8752","-2254.10"
"2026-03-02","DEBIT","WEB AUTHORIZED PMT CITI AUTOPAY","Download from usbank.com.","-139.07"
"2026-03-03","DEBIT","WEB AUTHORIZED PMT CARDMEMBER SERV","Download from usbank.com.","-188.00"
"2026-03-03","DEBIT","ELECTRONIC WITHDRAWAL SD GAS & ELEC","Download from usbank.com.","-175.00"
"2026-03-04","DEBIT","MONTHLY MAINTENANCE FEE","Download from usbank.com.","-24.95"
"2026-03-04","CREDIT","MONTHLY MAINTENANCE FEE WAIVED","Download from usbank.com.","24.95"
"2026-03-05","DEBIT","WEB AUTHORIZED PMT T-MOBILE","Download from usbank.com.","-241.67"
"2026-03-09","DEBIT","ZELLE INSTANT PMT TO Raymond Evans                 USBA3dKrN7Xn","Download from usbank.com.","-100.00"
"2026-03-09","DEBIT","DEBIT PURCHASE -VISA PMG RETAIL INC  SAN DIEGO   CA","Download from usbank.com.8752","-122.80"
"2026-03-09","DEBIT","RECURRING DEBIT PURCHASE GOOGLE *Google S855-836-3987CA","Download from usbank.com.8752","-8.00"
"2026-03-09","DEBIT","RECURRING DEBIT PURCHASE PLAYSTATION     650-2956540 CA","Download from usbank.com.8752","-17.99"
"2026-03-11","DEBIT","DEBIT PURCHASE -VISA ROSE DONUTS     SAN DIEGO   CA","Download from usbank.com.8752","-35.62"
"2026-03-11","DEBIT","WEB AUTHORIZED PMT CARDMEMBER SERV","Download from usbank.com.","-251.00"
